,mm,formula,compound,pollutant_category,AVG_savanna,AVG_boreal_forest,AVG_tropical_forest,AVG_temperate_forest,AVG_peat,AVG_chaparral,AVG_open_cooking,AVG_cookstove,AVG_dung_burning,AVG_charcoal_making,AVG_charcoal_burning,AVG_coal_burning,AVG_pasture_maintenance,AVG_crop_residue,AVG_garbage_burning,N_savanna,N_boreal_forest,N_tropical_forest,N_temperate_forest,N_peat,N_chaparral,N_open_cooking,N_cookstove,N_dung_burning,N_charcoal_making,N_charcoal_burning,N_coal_burning,N_pasture_maintenance,N_crop_residue,N_garbage_burning,STD_savanna,STD_boreal_forest,STD_tropical_forest,STD_temperate_forest,STD_peat,STD_chaparral,STD_open_cooking,STD_cookstove,STD_dung_burning,STD_charcoal_making,STD_charcoal_burning,STD_coal_burning,STD_pasture_maintenance,STD_crop_residue,STD_garbage_burning,smile,S07,S07T,S18B,S22,MOZT1,geos_chem_species,id
10,42.0,C2H2O,Ketene fregments,NMOC_g,1.8747,1.5465,,1.3494,1.4228,0.5699,0.8136,0.7532,,,,,,1.2788,0.598,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,0.3499,,,,,,,,CC=C=O,MVK,PRD2,OLEP,KET2,,,42.010040999999994_C2H2O
11,42.0,C3H6,Propene,NMOC_g,0.7174,0.8264,0.636,0.69,1.8569,0.3465,0.5189,0.2518,1.1399,3.5467,0.726,0.7879,0.856,0.3704,1.3962,6.0,8.0,5.0,17.0,6.0,6.0,5.0,13.0,15.0,3.0,1.0,3.0,3.0,13.0,4.0,0.8743,0.328,0.3999,0.4252,0.8572,0.1454,0.3368,0.2262,0.3224,1.6109,,0.7123,0.5219,0.1679,0.2946,CC=C,OLE1,PRPE,PROPE,PROPE,C3H6,,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3"
13,43.0,C2H5N,Ethenamine,NMOC_g,,,,0.0104,0.0051,0.0013,,,0.0303,,,,,0.0134,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0013,,,,,,,,,,,,C=CN,OLE1,OLE1,AMINS,AMINS,C3H6,,"InChI=1S/C2H5N/c1-2-3/h2H,1,3H2"
14,44.0,C2H4O,Acetaldehyde,NMOC_g,2.4468,1.5954,1.55,1.5599,1.8092,0.9144,0.4851,0.3879,1.2293,,,0.0554,1.202,2.1026,1.7729,3.0,2.0,1.0,13.0,4.0,4.0,1.0,7.0,7.0,0.0,0.0,2.0,1.0,9.0,3.0,1.5891,0.7006,,0.6238,1.0695,0.7885,,0.2555,0.6597,,,0.0199,,0.9349,0.4232,CC=O,CCHO,CCHO,MECHO,MECHO,CH3CHO,ALD2,"InChI=1S/C2H4O/c1-2-3/h2H,1H3"
15,44.0,C3H8,Propane,NMOC_g,0.0967,0.3097,0.126,0.2996,4.0644,0.4163,,0.143,0.3233,,,1.501,0.11,0.1711,0.904,3.0,5.0,3.0,12.0,2.0,3.0,0.0,4.0,6.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0489,0.1378,0.0761,0.1876,4.3496,0.4095,,0.1074,0.2618,,,2.1199,,0.0447,,CCC,ALK2,ALK2,PROP,PROP,C3H8,C3H8,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3"
16,45.0,CH3NO,Formamide,NMOC_g,,,,0.0276,0.0435,0.0032,,,0.0594,,,,,0.0197,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0134,,,,,,,,,,,,C(=O)N,ALK5,ALK5,AMINS,AMINS,,,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)"
17,45.0,C2H7N,Ethylamine + dimethylamine,NMOC_g,0.0151,0.0162,,0.0317,0.0011,0.0058,0.0306,0.0096,0.006,,,,,0.0382,0.0136,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,0.0443,,0.0081,,0.0095,,,,,,0.0534,,CNC,ALK5,ALK5,AMINS,AMINS,,,45.05726_C2H7N
18,46.0,C2H6O,Ethanol,NMOC_g,0.309,0.027,,0.1823,0.3366,0.0326,,0.1197,0.1933,,,0.0048,,0.2472,0.0972,1.0,1.0,0.0,10.0,1.0,2.0,0.0,5.0,7.0,0.0,0.0,1.0,0.0,8.0,2.0,,,,0.2272,,0.032,,0.1154,0.3476,,,,,0.2918,0.0139,CCO,ALK3,ETOH,ETOH,ETOH,C2H5OH,EOH,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
19,46.0,CH2O2,Formic acid,NMOC_g,0.3825,0.453,0.7876,0.4966,0.414,0.4018,0.26,0.1349,0.2588,0.6636,0.0938,3.8665,0.1854,0.496,0.2564,5.0,6.0,3.0,14.0,7.0,5.0,5.0,11.0,14.0,3.0,2.0,3.0,2.0,10.0,4.0,0.3019,0.1826,0.8941,0.3605,0.2291,0.6149,0.0989,0.0858,0.1398,0.0882,0.0436,6.4383,0.0872,0.2205,0.165,C(=O)O,FACD,FACD,HCOOH,HCOOH,HCOOH,HCOOH,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)"
20,48.0,CH4O2,Methane diol,NMOC_g,,,,0.0007,0.0008,0.0002,,,0.0006,,,,,0.0012,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,C(O)O,ALK5,ALK5,OTH3,ALK6,,,"InChI=1S/CH4O2/c2-1-3/h2-3H,1H2"
21,48.0,CH4S,Methane thiol,NMOC_g,0.0276,0.021,,0.0185,0.0491,0.0052,0.0059,0.0028,0.143,,,,,0.0368,0.0033,2.0,2.0,0.0,5.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0148,0.0098,,0.0127,0.0414,0.0036,,0.0002,,,,,,0.018,,CS,ALK2,ALK2,NROG,NROG,NROG,,"InChI=1S/CH4S/c1-2/h2H,1H3"
22,50.0,C4H2,"1,3-butadiyne",NMOC_g,0.0034,0.0076,,0.0032,0.0015,0.0053,0.01,0.0031,0.0038,,,,,0.0013,0.0035,2.0,1.0,0.0,7.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0023,,,0.003,0.0017,0.0007,,0.002,0.0033,,,,,0.0007,,C#CC#C,OLE2,OLE2,ACYLS,ALK5,C2H2,,InChI=1S/C4H2/c1-3-4-2/h1-2H
24,51.0,C3HN,Propiolonitrile (=propyne nitrile),NMOC_g,,,,0.0017,0.0017,0.0008,,,0.0026,,,,,0.0003,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,C#CC#N,OLE1,OLE1,ACYLS,ALK5,,,InChI=1S/C3HN/c1-2-3-4/h1H
25,52.0,C4H4,1-buten-3-yne,NMOC_g,0.0564,0.0536,,0.0264,0.031,0.0221,0.0489,0.0222,0.0425,,,,,0.0286,0.0331,2.0,2.0,0.0,10.0,2.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0079,0.0503,,0.0229,0.0035,0.017,,0.0112,0.0222,,,,,0.0187,,C=CC#C,OLE1,OLE1,OLE1,OLE1,BIGENE,,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2"
26,53.0,C3H3N,Acrylonitrile,NMOC_g,0.1301,0.03,0.04,0.0471,0.0417,0.0286,,,0.076,,,,,0.0379,0.0118,2.0,2.0,1.0,11.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.072,0.0085,,0.036,0.033,0.0202,,,,,,,,0.023,,C=CC#N,ALK5,ALK5,OTH4,ALK5,BIGENE,,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2"
27,54.0,C3H2O,2-propynal,NMOC_g,0.0688,0.0422,,0.0495,0.0647,0.018,,,0.0389,,,,,0.029,,1.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0473,,0.0178,0.0439,0.0091,,,,,,,,0.0122,,C#CC=O,OLE2,OLE2,ACYLS,ALK5,,,"InChI=1S/C3H2O/c1-2-3-4/h1,3H"
28,54.0,C4H6,2-butyne,NMOC_g,0.005,,,0.00239,0.0011,,,0.0049,0.0075,,,,,0.0024,0.0073,1.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,0.0012,,,,0.0056,0.0043,,,,,0.0005,,CC#CC,OLE2,OLE2,ACYLS,ALK5,C2H2,,InChI=1S/C4H6/c1-3-4-2/h1-2H3
29,54.0,C4H6,1-butyne,NMOC_g,0.016,,,0.00529,0.002,0.0064,,0.0076,0.0108,,,,,0.0069,0.0105,1.0,0.0,0.0,5.0,1.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,,,,0.001,,,,0.0057,0.0044,,,,,0.0037,,CCC#C,OLE1,OLE1,ACYLS,ALK5,C2H2,,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3"
30,54.0,C4H6,"1,3-butadiene",NMOC_g,0.1719,0.1585,0.039,0.21224,0.30745,0.11339,0.1392,0.1464,0.40724,,0.2105,0.5294,,0.12327,0.2966,3.0,4.0,1.0,12.0,3.0,4.0,3.0,13.0,13.0,0.0,1.0,3.0,0.0,12.0,3.0,0.1382,0.1557,,0.1166,0.0501,0.0722,0.1036,0.1112,0.1698,,,0.8158,,0.056,0.127,C=CC=C,OLE2,13BDE,BUT13,BUT13,BIGENE,,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2"
31,54.0,C4H6,"1,2-butadiene",NMOC_g,0.012,,,0.00304,0.00093,0.00275,,0.003,0.00503,,,,,0.00628,0.0063,1.0,0.0,0.0,7.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,,,,0.0018,,0.0004,,0.0002,0.0008,,,,,0.0015,,CC=C=C,OLE1,OLE1,OLE1,OLE1,BIGENE,,"InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3"
32,55.0,C3H5N,Propane nitrile,NMOC_g,0.0644,0.0177,0.09,0.0189,0.0395,0.0114,,,0.0687,,,,,0.0433,,2.0,2.0,1.0,9.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0221,0.0061,,0.0092,0.022,0.0078,,,,,,,,0.0384,,CCC#N,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3"
33,56.0,C4H8,Trans-2-butene,NMOC_g,0.0137,0.0276,0.029,0.04205,0.14664,0.0117,,0.0423,0.08371,,,0.1752,0.025,0.03465,0.1102,3.0,3.0,4.0,11.0,3.0,3.0,0.0,4.0,7.0,0.0,0.0,2.0,1.0,7.0,2.0,0.006,0.0205,0.0191,0.0346,0.1248,0.0004,,0.0454,0.0571,,,0.2458,,0.016,0.0873,CC=CC,OLE2,OLE2,OLE2,OLE2,BIGENE,,"InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3+"
34,56.0,C4H8,Cis-2-butene,NMOC_g,0.0116,0.0204,0.0244,0.03413,0.11657,0.01055,,0.0274,0.05747,,,0.1075,0.02,0.03022,0.0972,3.0,3.0,4.0,11.0,3.0,3.0,0.0,5.0,7.0,0.0,0.0,2.0,1.0,7.0,2.0,0.0057,0.0094,0.014,0.0262,0.0993,0.0012,,0.0349,0.0352,,,0.1506,,0.0192,0.0661,CC=CC,OLE2,OLE2,OLE2,OLE2,BIGENE,,"InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3-"
35,56.0,C4H8,1-butene,NMOC_g,0.0797,0.1825,0.0785,0.16323,0.47109,0.08472,0.1504,0.239,0.21873,,,0.1743,0.085,0.09243,0.6437,4.0,4.0,4.0,12.0,4.0,4.0,1.0,7.0,7.0,0.0,0.0,2.0,1.0,8.0,3.0,0.0439,0.094,0.0603,0.1032,0.2957,0.0442,,0.4971,0.1096,,,0.2442,,0.0264,0.3719,CCC=C,OLE1,OLE1,OLE1,OLE1,BIGENE,,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3"
36,56.0,C4H8,I-butene,NMOC_g,0.072,0.0847,0.11,0.12214,0.58398,0.04136,,0.3747,0.1718,,,0.2148,0.055,0.15673,0.3607,2.0,3.0,2.0,11.0,3.0,3.0,0.0,5.0,7.0,0.0,0.0,2.0,1.0,7.0,2.0,0.0679,0.0291,0.0283,0.1029,0.4946,0.0395,,0.704,0.107,,,0.3016,,0.187,0.3738,CC(=C)C,OLE2,OLE2,OLE3,OLE3,BIGENE,,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3"
37,56.0,C3H4O,Acrolein,NMOC_g,1.1276,0.4825,0.65,0.5917,0.2472,0.4686,0.21,0.1653,0.4883,,,,,0.6282,0.4214,2.0,3.0,1.0,12.0,3.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,11.0,2.0,0.3711,0.3377,,0.3023,0.1783,0.181,,0.0732,0.4326,,,,,0.4791,0.0557,C=CC=O,MACR,ACRO,ACRO,ACRO,BIGENE,,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2"
38,57.0,C2H3NO,Methyl isocyanate + hydroxyacetonitrile,NMOC_g,,,,0.0271,0.0299,0.0046,,,0.0668,,,,,0.0252,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0085,,,,,,,,,,,,CN=C=O,NROG,NROG,NROG,NROG,,,57.02086_C2H3NO
40,57.0,C2H3NO,Hydroxy acetonitrile,NMOC_g,,0.0035,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,C(C#N)O,ALK5,ALK5,OTH3,ALK6,,,"InChI=1S/C2H3NO/c3-1-2-4/h4H,2H2"
41,57.0,C3H7N,Propeneamines,NMOC_g,,,,0.0116,0.0039,0.0008,,,0.0271,,,,,0.0069,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0094,,,,,,,,,,,,C=CCN,ALK5,ALK5,AMINS,AMINS,,,57.05726_C3H7N
42,58.0,C4H10,Butane,NMOC_g,0.0313,0.0952,0.0377,0.1046,1.0505,0.0759,,0.561,0.1286,,,0.581,0.02,0.0538,0.3499,3.0,4.0,3.0,13.0,2.0,3.0,0.0,4.0,6.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0266,0.0476,0.0214,0.1163,1.0317,0.0555,,1.0662,0.091,,,0.8189,,0.0185,0.2307,CCCC,ALK3,ALK3,NC4,NC4,BIGALK,,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
43,58.0,C4H10,I-butane,NMOC_g,0.0068,0.0402,0.0113,0.0475,0.4626,0.0182,,0.1603,0.0754,,,0.1718,0.007,0.0188,0.0721,3.0,2.0,3.0,11.0,2.0,2.0,0.0,5.0,6.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0045,0.0272,0.0081,0.0654,0.5253,0.0045,,0.3268,0.0607,,,0.2407,,0.0062,0.0705,CC(C)C,ALK3,ALK3,ALK3,ALK3,BIGALK,,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3"
44,58.0,C3H6O,2-propen-1-ol,NMOC_g,,0.0221,,0.015,,,,,,,,,,0.0066,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,C=CCO,OLE1,OLE1,OLEP,OLEP,,,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2"
45,58.0,C3H6O,Propanal,NMOC_g,0.419,0.013,0.1,0.17848,0.0387,0.1584,,,,,,,0.082,0.20679,0.1557,1.0,1.0,1.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,,,,0.1144,,0.087,,,,,,,,0.1479,,CCC=O,RCHO,RCHO,ETCHO,ETCHO,BIGALK,,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3"
46,58.0,C3H6O,Acetone,NMOC_g,0.5144,0.73,0.63,0.63572,0.9264,0.3238,,0.3087,1.5118,,,0.146,0.525,0.50109,0.9207,3.0,4.0,1.0,13.0,5.0,4.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,14.0,3.0,0.2377,0.6069,,0.323,0.3814,0.1972,,0.2263,1.2104,,,,,0.3266,1.1953,CC(=O)C,ACET,ACET,ACET,ACET,CH3COCH3,ACET,InChI=1S/C3H6O/c1-3(2)4/h1-2H3
47,58.0,C3H6O,Methyl vinyl ether,NMOC_g,0.2549,,,,0.85,,,,,,,,,0.1375,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,COC=C,OLE2,OLE2,OLEP,OLEP,,,"InChI=1S/C3H6O/c1-3-4-2/h3H,1H2,2H3"
48,58.0,C2H2O2,Glyoxal,NMOC_g,0.717,,,0.2353,,0.1584,,,0.0286,,,,,0.3438,,1.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.1219,,0.0602,,,,,,,,0.2006,,C(=O)C=O,GLY,GLY,GLY,GLY,GLYOXAL,GLYX,InChI=1S/C2H2O2/c3-1-2-4/h1-2H
49,59.0,C2H5NO,Acetamide,NMOC_g,,,,0.0708,1.6377,0.0101,0.0249,0.0171,0.758,,,,,0.0956,,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0441,1.9034,,,,,,,,,0.02,,CC(=O)N,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)"
50,59.0,C3H9N,Trimethylamine,NMOC_g,0.0441,0.0104,,0.0066,0.0068,0.0014,,,0.0362,,,,,0.04,0.0015,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,0.0026,,0.0013,,,,,,,,0.0459,,CN(C)C,ALK5,ALK5,AMINS,AMINS,C3H8,,InChI=1S/C3H9N/c1-4(2)3/h1-3H3
52,60.0,COS,Carbonyl sulfide,NMOC_g,0.057,0.2063,0.0247,0.0201,0.7191,0.031,,0.029,0.128,,,0.0034,,0.0326,0.0743,1.0,3.0,1.0,6.0,3.0,1.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,4.0,1.0,,0.2723,,0.0224,0.8036,,,0.0322,0.1165,,,,,0.0148,,C(=O)=S,NROG,NROG,NROG,NROG,,OCS,InChI=1S/COS/c2-1-3
53,60.0,C3H8O,Isopropyl alcohol,NMOC_g,0.013,0.0036,,0.0057,,0.001,,,,,,,,0.0079,,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0024,,,,,,,,,,0.0022,,CC(C)O,ALK4,ALK4,OTH3,ALK6,CH3COCH3,,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
54,60.0,C2H4O2,Acetic acid,NMOC_g,3.40149,3.3844,3.0533,2.51407,5.49785,1.54201,4.4835,2.1186,5.25613,96.37,2.62,0.4505,11.936,2.65471,1.4272,5.0,6.0,3.0,9.0,7.0,4.0,5.0,9.0,14.0,4.0,1.0,2.0,2.0,6.0,3.0,2.7485,1.4917,1.0673,2.1846,1.9123,0.3476,2.4275,1.1049,3.6077,99.133,,0.029,10.98,0.9494,0.8618,CC(=O)O,AACD,AACD,AACID,OACID,CH3COOH,ACTA,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)"
55,60.0,C2H4O2,Methyl formate,NMOC_g,0.037,,,0.0311,,0.0726,,,,,,,,0.0377,,1.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0141,,0.0008,,,,,,,,0.0095,,COC=O,ALK1,ALK1,OTH1,ALK4,NROG,,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3"
56,60.0,C2H4O2,Glycolaldehyde,NMOC_g,0.61139,0.7405,2.838,0.57333,1.51722,0.18406,0.5701,0.2561,0.47522,,,,,1.61042,1.7526,3.0,3.0,1.0,5.0,4.0,4.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,5.0,2.0,0.7707,0.1578,,0.3459,1.6566,0.0607,0.5661,0.1924,0.214,,,,,1.2553,0.9298,C(C=O)O,CCHO,CCHO,GLCHO,GLCHO,GLYALD,GLYC,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2"
57,60.0,C2H8N2,"1,1-dimethylhydrazine",NMOC_g,,,,0.0274,,0.046,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0078,,,,,,,,,,,,CN(C)N,ALK5,ALK5,AMINS,AMINS,,,"InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3"
